kood,kasRegistrivara,arveleVoetud,ads_oid,x,y,ehrKood,peamineKasutusTekst,seisundTekst,kasulikPind,energiamargis,margiseAeg,aadresstekst
KL43516H2,true,"2011-11-22",ME00655166,6587881.94,544340.72,"101038607","Administratiivhoone","kasutusel",1270.2,"G","2010-01-04","Harju maakond, Tallinn, Lasnamäe linnaosa, Tartu mnt 85"
KL43517H1,true,"2011-11-22",ME00655165,6587922.76,544337.59,"101038606","Administratiivhoone","kasutusel",3554.7,"F","2010-01-04","Harju maakond, Tallinn, Lasnamäe linnaosa, Tartu mnt 85"
KL43545H1,true,"2012-02-21",ME02009587,6584818.32,693765.95,"120601989","Kohtuhoone","kasutusel",4035.0,"B","","Ida-Viru maakond, Jõhvi vald, Jõhvi linn, Kooli tn 2a"
KL43578H2,true,"2012-02-29",ME01161638,6589141.26,543093.68,"120267803","Büroohoone","kasutusel",11156.7,"F","2013-02-10","Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 7a"
KL43636H1,true,"2011-11-28",ME01118688,6590560.34,581383.5,"116046955","Muu tervishoiuhoone, nagu näiteks vereülekandejaam","kasutusel",1265.9,"C","2011-11-24","Harju maakond, Kuusalu vald, Kuusalu alevik, Kuusalu tee 33"
KL43639H1,true,"2011-11-29",ME00840297,6438579.08,680428.23,"110009896","Büroohoone","kasutusel",2357.6,"D","2013-05-28","Põlva maakond, Põlva vald, Põlva linn, Võru tn 12"
KL43640H1,true,"2012-03-20",ME01097561,6589230.19,540060.49,"120544393","Muu büroo- või administratiivhoone","kasutusel",4066.9,"","","Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Kolde pst 65"
KL43674H1,true,"2011-11-30",EE03211372,6557542.79,600434.87,"107017191","Koolieelne lasteasutus (lastesõim, -aed, päevakodu, lasteaed-algkool)","kasutusel",2215.3,"D","","Järva maakond, Ambla vald, Aravete alevik, Lasteaia tn 4"
KL43675H1,true,"2011-11-30",ME00974727,6437934.92,647319.96,"111037369","Büroohoone","kasutusel",2762.4,"","","Valga maakond, Otepää vald, Otepää linn, Lipuväljak 13"
KL43681H1,true,"2011-12-12",EE02187062,6592622.42,547360.2,"101013347","Muu kaubandushoone või kauplus","kasutusel",6574.2,"C","","Harju maakond, Tallinn, Pirita linnaosa, Merivälja tee 24"
KL43790H1,true,"2011-12-12",ME00710823,6473697.61,538209.1,"103021908","Ambulatoorse arstiabi osutamise hoone","kasutusel",176.5,"","","Pärnu maakond, Sindi linn, Paide mnt 5"
KL43791H1,true,"2011-12-12",ME00901250,6598707.9,641827.43,"108004481","Muu erihoone","kasutusel",6.7,"","","Lääne-Viru maakond, Kunda linn, Pargi tn 30"
KL43794H1,true,"2011-12-12",ME00693037,6474195.31,520822.61,"103001752","Büroohoone","kasutusel",880.1,"","","Pärnu maakond, Audru vald, Audru alevik, Pärna allee 7"
KL43805H1,true,"2011-12-14",ME00985958,6441516.09,591074.38,"117003263","Muu büroo- või administratiivhoone","kasutusel",825.3,"","","Viljandi maakond, Karksi vald, Karksi-Nuia linn, Pärnu mnt 8"
KL43815H1,true,"1996-01-02",ME00798710,6458145.54,410960.81,"106003326","Büroohoone","kasutusel",535.2,"G","2014-05-08","Saare maakond, Kuressaare linn, Kohtu tn 10"
KL43816H1,true,"2011-12-14",ME00695155,6438001.26,529586.93,"103004281","Ambulatoorse arstiabi osutamise hoone","kasutusel",858.6,"B","2012-04-04","Pärnu maakond, Häädemeeste vald, Häädemeeste alevik, Pärnu mnt 22"
KL43849H1,true,"1996-01-02",ME00798710,6458145.54,410960.81,"106003326","Büroohoone","kasutusel",535.2,"G","2014-05-08","Saare maakond, Kuressaare linn, Kohtu tn 10"
KL43850H1,true,"1996-01-02",ME00798710,6458145.54,410960.81,"106003326","Büroohoone","kasutusel",535.2,"G","2014-05-08","Saare maakond, Kuressaare linn, Kohtu tn 10"
KL43853H1,true,"1996-01-02",ME03333155,6438494.39,679594.25,"120692775","Büroohoone","kasutusel",1287.5,"F","2014-05-09","Põlva maakond, Põlva vald, Põlva linn, Puuri tee 1"
KL43854H1,true,"2011-12-20",ME00857436,6528848.69,590432.91,"107012861","Kohtuhoone","kasutusel",3077.6,"G","2013-10-11","Järva maakond, Paide linn, Tallinna tn 18"
KL43856H1,true,"1998-12-21",EE00921285,6581636.48,634407.54,"108011604","Muu kolme või enama korteriga elamu","kasutusel",844.3,"","","Lääne-Viru maakond, Rakvere linn, Võidu tn 38"
KL43857H1,true,"1998-12-21",EE00921285,6581636.48,634407.54,"108011604","Muu kolme või enama korteriga elamu","kasutusel",844.3,"","","Lääne-Viru maakond, Rakvere linn, Võidu tn 38"
KL43858H1,true,"1999-05-28",EE01651362,6471204.18,529038.21,"103028603","Büroohoone","kasutusel",1112.1,"E","2014-05-09","Pärnu maakond, Pärnu linn, P. Kerese tn 4"
KL43859H1,true,"1996-01-02",ME00911246,6540240.73,545354.8,"109016979","Büroohoone","kasutusel",919.1,"D","2014-05-08","Rapla maakond, Rapla vald, Rapla linn, Kuusiku tee 6"
KL43861H1,true,"1996-01-02",ME00911246,6540240.73,545354.8,"109016979","Büroohoone","kasutusel",919.1,"D","2014-05-08","Rapla maakond, Rapla vald, Rapla linn, Kuusiku tee 6"
KL43862H1,true,"1996-01-02",ME00911246,6540240.73,545354.8,"109016979","Büroohoone","kasutusel",919.1,"D","2014-05-08","Rapla maakond, Rapla vald, Rapla linn, Kuusiku tee 6"
KL43863H1,true,"1998-12-21",ME01002645,6415610.13,677688.9,"113027639","Administratiivhoone","kasutusel",665.3,"G","2014-05-09","Võru maakond, Võru linn, Katariina allee 7"
KL43893H1,true,"2012-02-15",ME01111620,6606128.23,597294.91,"116043628","Büroohoone","kasutusel",944.7,"E","","Harju maakond, Loksa linn, Tallinna tn 45"
KL44007H1,true,"2011-12-20",ME01648783,6429668.22,715287.82,"110025072","Muu haridus- või teadushoone, nagu näiteks labor, õppetöökoda, ilmajaam ja observatoorium","kasutusel",646.3,"","","Põlva maakond, Värska vald, Värska alevik, Pikk tn 30"
KL44015H1,true,"1997-01-08",ME00957846,6415788.19,677754.38,"113018958","Büroohoone","kasutusel",1988.1,"","","Võru maakond, Võru linn, Jüri tn 12"
KL44028H1,true,"1998-12-03",ME00947123,6578432.23,634881.89,"108021124","Büroohoone","kasutusel",1589.5,"H","2014-05-09","Lääne-Viru maakond, Vinni vald, Piira küla, C. T. von Neffi tn 2"
KL44029H1,true,"1998-12-03",ME00947123,6578432.23,634881.89,"108021124","Büroohoone","kasutusel",1589.5,"H","2014-05-09","Lääne-Viru maakond, Vinni vald, Piira küla, C. T. von Neffi tn 2"
KL44035H1,true,"2000-12-20",ME01052689,6513262.31,638331.47,"120169968","Veterinaarravila","kasutusel",2201.0,"F","2014-05-09","Jõgeva maakond, Jõgeva linn, Ravila tn 10"
KL44036H1,true,"2000-12-20",ME01052689,6513262.31,638331.47,"120169968","Veterinaarravila","kasutusel",2201.0,"F","2014-05-09","Jõgeva maakond, Jõgeva linn, Ravila tn 10"
KL44037H1,true,"2000-12-20",ME01052689,6513262.31,638331.47,"120169968","Veterinaarravila","kasutusel",2201.0,"F","2014-05-09","Jõgeva maakond, Jõgeva linn, Ravila tn 10"
KL44038H1,true,"2000-12-20",ME01052689,6513262.31,638331.47,"120169968","Veterinaarravila","kasutusel",2201.0,"F","2014-05-09","Jõgeva maakond, Jõgeva linn, Ravila tn 10"
KL44039H1,true,"1998-12-21",EE00762950,6474050.4,658357.2,"104029802","Muu kolme või enama korteriga elamu","kasutusel",784.3,"","","Tartu maakond, Tartu linn, Kooli tn 13"
KL44040H1,true,"1996-04-15",ME00706368,6472628.48,526912.26,"103016678","Veterinaarravila","kasutusel",2278.8,"A","","Pärnu maakond, Pärnu linn, Haapsalu mnt 86"
KL44041H1,true,"1996-04-15",ME00706368,6472628.48,526912.26,"103016678","Veterinaarravila","kasutusel",2278.8,"A","","Pärnu maakond, Pärnu linn, Haapsalu mnt 86"
KL44042H1,true,"1995-11-23",ME01033537,6470250.2,593299.62,"112016984","Büroohoone","kasutusel",2193.8,"E","2014-09-24","Viljandi maakond, Viljandi linn, Vabaduse plats 4"
KL44069H1,true,"1995-11-23",ME01033537,6470250.2,593299.62,"112016984","Büroohoone","kasutusel",2193.8,"E","2014-09-24","Viljandi maakond, Viljandi linn, Vabaduse plats 4"
KL44117H1,true,"2012-02-06",ME00653344,6588743.48,542446.84,"101036564","Kohtuhoone","kasutusel",4045.5,"F","2010-01-04","Harju maakond, Tallinn, Kesklinna linnaosa, Pärnu mnt 7"
KL44154H1,true,"1995-11-23",ME01033537,6470250.2,593299.62,"112016984","Büroohoone","kasutusel",2193.8,"E","2014-09-24","Viljandi maakond, Viljandi linn, Vabaduse plats 4"
KL44155H1,true,"2014-05-20",ME01647180,6406714.97,623449.12,"111023953","Muu transpordihoone, nagu näiteks tuletorn","kasutusel",322.0,"","","Valga maakond, Valga linn, J. Kuperjanovi tn 107a"
KL44296H1,true,"2012-03-20",EE00664771,6585178.4,694980.69,"102006729","Muu kolme või enama korteriga elamu","kasutusel",3497.5,"E","2009-06-30","Ida-Viru maakond, Jõhvi vald, Jõhvi linn, Narva mnt 40"
KL44297H1,true,"2012-05-22",ME00667898,6589230.31,686437.67,"102011298","Administratiivhoone","kasutusel",4425.7,"","","Ida-Viru maakond, Kohtla-Järve linn, Järve linnaosa, Keskallee 19"
KL44298H1,true,"2012-03-20",EE01063268,6585347.92,694025.33,"120316451","Muu kolme või enama korteriga elamu","kasutusel",1926.4,"","","Ida-Viru maakond, Jõhvi vald, Jõhvi linn, Nooruse tn 5a"
KL44299H1,true,"2012-03-20",EE00664409,6583788.93,694237.19,"102006325","Muu kolme või enama korteriga elamu","kasutusel",6601.2,"","","Ida-Viru maakond, Jõhvi vald, Jõhvi linn, Hariduse tn 9"
KL44300H1,true,"1996-10-09",ME01688200,6438759.16,680109.65,"110009860","Administratiivhoone","kasutusel",1848.7,"E","","Põlva maakond, Põlva vald, Põlva linn, Kesk tn 20"
KL44315H1,true,"1996-10-09",ME01688200,6438759.16,680109.65,"110009860","Administratiivhoone","kasutusel",1848.7,"E","","Põlva maakond, Põlva vald, Põlva linn, Kesk tn 20"
KL44336H1,true,"1997-10-13",ME00867449,6598893.08,610703.21,"108042920","Energeetikaettevõtte hoone","kasutusel",100.0,"","","Lääne-Viru maakond, Vihula vald, Palmse küla, Külastuskeskuse"
KL44336H2,true,"1997-10-13",ME00944867,6598844.89,610661.71,"108019928","Muu meelelahutushoone","kasutusel",1076.2,"","","Lääne-Viru maakond, Vihula vald, Palmse küla, Külastuskeskuse"
KL44344H1,true,"2005-06-30",ME00943276,6429640.7,640676.9,"111026232","Metsa-, jahi- või kalamajandushoone","kasutusel",127.5,"","","Valga maakond, Otepää vald, Märdi küla, Rae"
KL44397H1,true,"1997-01-08",ME00957846,6415788.19,677754.38,"113018958","Büroohoone","kasutusel",1988.1,"","","Võru maakond, Võru linn, Jüri tn 12"
KL44462H1,true,"2012-01-26",ME00723057,6501880.75,559777.63,"103036746","Klubi, rahvamaja","kasutusel",2462.2,"","","Pärnu maakond, Vändra vald (alev), Vändra alev, Pärnu-Paide mnt 2"
KL44539H8,true,"2012-09-11",ME00752059,6471954.0,657291.57,"104018210","Sisekaitse- või kaitseväehoone","kasutusel",8167.0,"","","Tartu maakond, Tartu linn, Riia tn 132"
KL44562H1,true,"2012-05-22",ME00817389,6457377.73,411876.27,"106024469","Põhikooli või gümnaasiumi õppehoonehoone","kasutusel",7083.0,"C","2009-03-16","Saare maakond, Kuressaare linn, Nooruse tn 1"
KL44604H1,true,"2012-02-16",EE00634647,6590426.47,539496.79,"101012319","Muu kolme või enama korteriga elamu","kasutusel",4520.5,"E","2010-10-15","Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Sõle tn 61a"
