kood,kasRegistrivara,arveleVoetud,ads_oid,x,y,ehrKood,peamineKasutusTekst,seisundTekst,kasulikPind,energiamargis,margiseAeg,aadresstekst
KL42648H1,true,"2011-10-05",ME00799577,6457882.93,410651.95,"106004278","Põhikooli või gümnaasiumi õppehoonehoone","kasutusel",578.7,"D","2013-12-12","Saare maakond, Kuressaare linn, Suur-Põllu tn 4"
KL42782H2,true,"2012-01-20",ME01161638,6589141.26,543093.68,"120267803","Büroohoone","kasutusel",11156.7,"F","2013-02-10","Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 7a"
KL42821H12,true,"1998-01-20",,,,"","","",,"","",""
KL42821H5,true,"1998-01-20",,,,"","","",,"","",""
KL42821H6,true,"1998-01-20",,,,"","","",,"","",""
KL42898H4,true,"2011-12-12",ME01928602,6559565.02,520871.26,"120564881","Administratiivhoone","ehitusluba antud",2176.9,"","","Harju maakond, Kernu vald, Hingu küla, Rallipargi"
KL42902H1,true,"2011-10-25",ME00646671,6588268.58,542036.25,"101028632","Büroohoone","kasutusel",439.7,"H","2010-01-04","Harju maakond, Tallinn, Kesklinna linnaosa, Tõnismägi 8"
KL42906H1,true,"2012-02-20",,,,"114003638","","",2968.0,"","",""
KL42909H1,true,"2011-11-18",ME00653531,6588266.62,542077.1,"101036789","Administratiivhoone","kasutusel",3051.8,"H","2010-01-04","Harju maakond, Tallinn, Kesklinna linnaosa, Tõnismägi 5a"
KL42914H1,true,"2012-02-20",ME00815418,6556163.22,628866.47,"108025445","Büroohoone","kasutusel",218.9,"","","Lääne-Viru maakond, Väike-Maarja vald, Väike-Maarja alevik, Ehitajate tee 4"
KL42918H1,true,"2012-02-20",EE00668012,6581553.49,695147.69,"102011439","Muu kolme või enama korteriga elamu","kasutusel",3342.6,"","","Ida-Viru maakond, Kohtla-Järve linn, Ahtme linnaosa, Estonia pst 38"
KL43042H1,true,"2012-02-20",,,,"","","",3604.8,"","",""
KL43115H1,true,"2012-02-20",ME01022525,,,"118009476","Muu kaubandushoone või kauplus","kasutusel",4804.0,"","","Ida-Viru maakond, Narva linn, P. Kerese tn 3"
KL43144H1,true,"2012-04-26",ME01644212,6583825.66,668728.83,"102007947","Büroohoone","kasutusel",332.2,"","","Ida-Viru maakond, Kiviõli linn, Vabaduse pst 16"
KL43204H1,true,"2000-03-01",,,,"","","",,"","",""
KL43239H1,true,"1997-04-17",,,,"","","",,"","",""
KL43240H1,true,"1997-04-17",,,,"","","",,"","",""
KL43321H1,true,"2000-03-01",,,,"","","",,"","",""
KL43327H1,true,"2000-03-01",,,,"","","",,"","",""
KL43474H1,true,"2011-11-18",ME00655165,6587922.76,544337.59,"101038606","Administratiivhoone","kasutusel",3554.7,"F","2010-01-04","Harju maakond, Tallinn, Lasnamäe linnaosa, Tartu mnt 85"
KL43482H1,true,"2011-11-21",ME00776981,6473836.21,659464.89,"104045147","Kohtuhoone","kasutusel",9784.0,"E","2010-12-22","Tartu maakond, Tartu linn, Kalevi tn 1"
KL43486H1,true,"2011-11-21",ME00776981,6473836.21,659464.89,"104045147","Kohtuhoone","kasutusel",9784.0,"E","2010-12-22","Tartu maakond, Tartu linn, Kalevi tn 1"
KL43500H1,true,"2011-11-21",ME01684978,6588051.26,542657.29,"120220193","Kohtuhoone","kasutusel",6483.0,"E","2010-01-04","Harju maakond, Tallinn, Kesklinna linnaosa, Liivalaia tn 24"
KL43514H1,true,"2011-11-21",ME00655165,6587922.76,544337.59,"101038606","Administratiivhoone","kasutusel",3554.7,"F","2010-01-04","Harju maakond, Tallinn, Lasnamäe linnaosa, Tartu mnt 85"
KL43516H2,true,"2011-11-22",ME00655166,6587881.94,544340.72,"101038607","Administratiivhoone","kasutusel",1270.2,"G","2010-01-04","Harju maakond, Tallinn, Lasnamäe linnaosa, Tartu mnt 85"
KL43517H1,true,"2011-11-22",ME00655165,6587922.76,544337.59,"101038606","Administratiivhoone","kasutusel",3554.7,"F","2010-01-04","Harju maakond, Tallinn, Lasnamäe linnaosa, Tartu mnt 85"
KL43545H1,true,"2012-02-21",ME02009587,6584818.32,693765.95,"120601989","Kohtuhoone","kasutusel",4035.0,"B","","Ida-Viru maakond, Jõhvi vald, Jõhvi linn, Kooli tn 2a"
KL43547H1,true,"2000-03-01",,,,"","","",,"","",""
KL43548H1,true,"2011-11-16",,,,"","","",,"","",""
KL43569H1,true,"2012-02-20",,,,"101018065","","",1627.4,"","",""
KL43574H1,true,"2011-11-25",,,,"","","",748.8,"","",""
KL43578H2,true,"2012-02-29",ME01161638,6589141.26,543093.68,"120267803","Büroohoone","kasutusel",11156.7,"F","2013-02-10","Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 7a"
KL43609H1,true,"1997-02-17",,,,"","Büroohoone","kasutusel",1496.2,"","",""
KL43615H1,true,"2011-11-28",ME00811923,,,"106019634","Muu sidehoone, nagu näiteks taksofoni kabiin","kasutusel",268.3,"","","Saare maakond, Orissaare vald, Orissaare alevik, Kuivastu mnt 39a"
KL43636H1,true,"2011-11-28",ME01118688,6590560.34,581383.5,"116046955","Muu tervishoiuhoone, nagu näiteks vereülekandejaam","kasutusel",1265.9,"C","2011-11-24","Harju maakond, Kuusalu vald, Kuusalu alevik, Kuusalu tee 33"
KL43639H1,true,"2011-11-29",ME00840297,6438579.08,680428.23,"110009896","Büroohoone","kasutusel",2357.6,"D","2013-05-28","Põlva maakond, Põlva vald, Põlva linn, Võru tn 12"
KL43640H1,true,"2012-03-20",ME01097561,6589230.19,540060.49,"120544393","Muu büroo- või administratiivhoone","kasutusel",4066.9,"","","Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Kolde pst 65"
KL43674H1,true,"2011-11-30",EE03211372,6557542.79,600434.87,"107017191","Koolieelne lasteasutus (lastesõim, -aed, päevakodu, lasteaed-algkool)","kasutusel",2215.3,"D","","Järva maakond, Ambla vald, Aravete alevik, Lasteaia tn 4"
KL43675H1,true,"2011-11-30",ME00974727,6437934.92,647319.96,"111037369","Büroohoone","kasutusel",2762.4,"","","Valga maakond, Otepää vald, Otepää linn, Lipuväljak 13"
KL43676H1,true,"1998-01-09",,,,"","","",,"","",""
KL43676H2,true,"1998-01-09",,,,"","","",,"","",""
KL43677H1,true,"1998-01-09",,,,"","Büroohoone","kasutusel",157.0,"","",""
KL43678H1,true,"1998-01-14",,,,"","","",,"","",""
KL43678H2,true,"2001-06-27",,,,"","","",,"","",""
KL43681H1,true,"2011-12-12",EE02187062,6592622.42,547360.2,"101013347","Muu kaubandushoone või kauplus","kasutusel",6574.2,"C","","Harju maakond, Tallinn, Pirita linnaosa, Merivälja tee 24"
KL43713H1,true,"2011-07-06",,,,"","","",,"","",""
KL43733H1,true,"1997-11-27",,,,"","","",,"","",""
KL43734H1,true,"1998-04-09",,,,"","","",,"","",""
KL43735H1,true,"1998-01-26",,,,"","","",,"","",""
KL43736H1,true,"1998-01-26",,,,"","","",,"","",""
